dataset,model,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,F1H_mean,F1H_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd,Brier_mean,Brier_sd,ECE_mean,ECE_sd,PRAUC_High_mean,PRAUC_High_sd,FP_High_mean,FP_High_sd,FN_High_mean,FN_High_sd
GoogleCluster,XGBoost,0.9990043290043288,0.0003282630062359,0.9983131013373194,0.0004676929427328,0.998658495584001,0.0001963132960639,0.998938661388201,0.0001460280728521,0.998315151216812,0.0002424254441852,0.0006128292897975,9.056995598502812e-05,0.0008904692283596,0.0001092981039558,0.9999546067027936,3.011071388494069e-05,7.8,2.16794833886788,4.6,1.51657508881031
ITIncident,BalancedRF,0.6308823529411764,0.0304947666960701,0.1084656990758395,0.0020628383932477,0.1850341874671823,0.0023429359734652,0.3731074537370668,0.0059459950767099,0.1103920080970596,0.0057905578698376,0.1475570485236823,0.0028950958242807,0.2739293586377539,0.0046550684743989,0.2321660263462922,0.0325328770735791,705.8,43.87710108929258,50.2,4.147288270665544
ITIncident,KATS,0.9426470588235294,0.0246076478392375,0.0429029457979036,0.0013875626845912,0.082066001386011,0.002545593275608,0.2191555409092503,0.0095076156260452,0.0361090567447295,0.0028478897948994,0.3050688402017559,0.0070701985182062,0.4477012036283813,0.0061322399253246,0.16274929749548,0.0255525702540243,2862.4,121.28396431515588,7.8,3.3466401061363023
ITIncident,LightGBM,0.7279411764705882,0.036395201972837,0.0884908266976165,0.0056605039717633,0.1577295973825052,0.0090686434971792,0.3585622202821709,0.0076648696030272,0.1027216884556719,0.0060509021189598,0.1635910749289226,0.0056300700557765,0.2595526885898763,0.0069434044353978,0.2192120334231194,0.0227071591315538,1022.8,76.53561262575742,37.0,4.949747468305834
ITIncident,LogReg,0.4602941176470588,0.0455051424904876,0.0459244879027383,0.0027990479149474,0.0834969613564722,0.0052513236139037,0.2450518936271297,0.014966915593011,0.0294041756953225,0.004098930881173,0.2196362411120396,0.0014383547133274,0.3949466776059257,0.0017627925322994,0.0412937495298552,0.001165166147189,1299.2,74.48288393986903,73.4,6.188699378706323
ITIncident,MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.325021446240905,0.0038278814002917,0.0026098038946978,0.0058356989164881,0.0366456675121524,0.0006319695134127,0.0044411973602634,0.0028313598747203,0.0663554073666877,0.0210345843775796,0.0,0.0,136.0,0.0
ITIncident,NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,0.3233095656367331,0.0,0.0,0.0,0.036821536465086,8.016369908141694e-05,0.0005516022732352,0.0002149665998018,0.0481454983393519,0.0020696915166404,0.0,0.0,136.0,0.0
ITIncident,RandomForest,0.1514705882352941,0.0184557358794281,0.3630385414063247,0.0735359208225061,0.2131527994133932,0.0299514798291459,0.4367189209391623,0.0160719539453621,0.1310857646256961,0.022970451989594,0.0553322670204644,0.0017399307454566,0.0582504281755398,0.0020516755290366,0.2157652698496283,0.0359209276975188,37.2,9.01110426085505,115.4,2.5099800796022254
ITIncident,XGBoost,0.0970588235294117,0.0120821152390845,0.6547985114300904,0.1440533452691011,0.1687983548753694,0.0228787908174722,0.4488862696514016,0.0183682978695973,0.1799837979282705,0.0277874114592617,0.0320681094257737,0.0007068818325446,0.0061401303952491,0.0012517057662528,0.2756420872997559,0.0377378431768137,7.4,4.03732584763727,122.8,1.6431676725154991
MultiCloud,BalancedRF,0.3282225237449118,0.0254591120850094,0.3134245167062776,0.0089432691272719,0.3202076884383222,0.0132901152500882,0.3110867093976109,0.033137788763383,-0.0334582007600266,0.0493461374679768,0.2334348333333333,0.0030404972312426,0.0953766666666666,0.0074340676020003,0.340405061949393,0.0212627210798438,47.8,4.43846820423443,44.6,1.51657508881031
MultiCloud,KATS,0.4187245590230665,0.091444824658267,0.3485502441968588,0.0223677235978191,0.3775690581312307,0.0457347329421969,0.3617767454093529,0.0178296127517468,0.0490426430953853,0.0221158266922587,0.2207201084305522,0.0023352626535367,0.0441445670660402,0.0052610485343607,0.3783343590341231,0.0284649272340212,51.8,9.833615815151616,38.6,6.107372593840988
MultiCloud,LightGBM,0.3344188150158299,0.0399489330503846,0.3103110583110583,0.0418916941743186,0.3216620933873296,0.0396374261693298,0.3115628876123738,0.0249280123747215,-0.0319446771096399,0.0374897237785533,0.271562303126466,0.0027579140730789,0.1927746568174926,0.0119634994999917,0.3383022015549831,0.0266056878425871,49.6,5.2249401910452535,44.2,2.7748873851023217
MultiCloud,LogReg,0.4819990954319312,0.073220021920113,0.3605298814786021,0.0284293517677203,0.4115344064881739,0.0419234802099072,0.3549159798169781,0.0271203302310976,0.0431808125424044,0.0410952898787936,0.2196056721608304,0.0027202648801455,0.0348234126452404,0.0047121868846923,0.3770815818885878,0.0303090961977696,56.6,6.107372593840988,34.4,4.9295030175464944
MultiCloud,MLP,0.3697421981004071,0.1852798811692723,0.3092659514674369,0.0707300113016296,0.3279443439443439,0.115357003567744,0.3317237009053477,0.0576819557652316,0.0140641741836458,0.0907051595119288,0.2206383424647341,0.0021856565914093,0.0250603432667814,0.0175862371235174,0.3576671183176302,0.0384119501419712,51.8,18.51215816699933,41.8,12.11197754291181
MultiCloud,NaiveBayes,0.5478968792401628,0.0772885463293107,0.3525449030392463,0.0236496085756299,0.4258707705698,0.0165124991637867,0.3432900360244474,0.0394960067827187,0.040370530839931,0.0400124411862755,0.2206585621535758,0.0026925590565807,0.0290544925789636,0.0062180388244157,0.3570830473509097,0.0193436951553574,67.8,15.319921670818031,30.0,5.0
MultiCloud,RandomForest,0.3435549525101763,0.0362827230734781,0.3213465423465423,0.0356952469417461,0.3315997492141683,0.0327168063585248,0.3182120212259928,0.028796518460016,-0.0212929007031911,0.0421347508599568,0.2330991166666666,0.0049231626654576,0.0919,0.0125863517351137,0.3460018414199178,0.0178641077662128,48.4,5.458937625582473,43.6,2.701851217221259
MultiCloud,XGBoost,0.3284486657620986,0.0307622142205596,0.3152357183878923,0.0323514394824449,0.3213663630440929,0.0297789653104263,0.3182723554815593,0.0321214286414017,-0.0215795831062004,0.0483590159765535,0.2728167998605972,0.0047226445884047,0.1866042606954773,0.0174842962380493,0.3129720446099013,0.0151699843492328,47.6,5.366563145999495,44.6,2.3021728866442674
