dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
GoogleCluster,7,RandomForest,0.5,0.9995670995670995,0.9980548951804625,0.9988104250027036,0.9990975080489402,0.9985743333671929,0.0006384444444444444,0.0021583333333333485,0.9999917893259453,9,2
GoogleCluster,7,BalancedRF,0.5,0.9989177489177489,0.9976221357544315,0.9982695219554402,0.9986815236942103,0.9979265106115355,0.0008651680555555556,0.0031322222222222493,0.9999870365744361,11,5
GoogleCluster,7,MLP,0.5,0.9978354978354979,0.9954653422586914,0.9966490109177386,0.9973649812779785,0.9958528663060323,0.0016415294379517867,0.0015440190667896213,0.9990147171279113,21,10
GoogleCluster,7,LogReg,0.5,0.9047619047619048,0.9049577830699286,0.9048598333152938,0.9087962456790475,0.8694186619523981,0.043278614525874864,0.031271726139361834,0.9675735847143777,439,440
GoogleCluster,7,NaiveBayes,0.5,0.8300865800865801,0.9245419479267116,0.874771897810219,0.8585929149761443,0.8022856113068281,0.06443278838323432,0.02620462544034736,0.9268374080787041,313,785
GoogleCluster,13,KATS,0.25,0.9991341991341991,0.9989179831205367,0.9990260794286333,0.9991727512258999,0.998833525752981,0.00040503231402868527,0.000650855529093414,0.9999936877069757,5,4
GoogleCluster,13,LightGBM,0.5,0.9984848484848485,0.9989172802078822,0.9987010175362633,0.9988937336688734,0.9983150785050288,0.0005724876675041945,0.0005218893701590515,0.9999451300963221,5,7
GoogleCluster,13,XGBoost,0.5,0.9984848484848485,0.9987010175362633,0.9985929213118303,0.9987553291986742,0.9980559653238646,0.0006883134414780936,0.001039826846139881,0.9999093733607157,6,7
GoogleCluster,13,RandomForest,0.5,0.9993506493506493,0.9991343864964294,0.9992425062222703,0.9993457960498251,0.9990927655929537,0.0005693805555555555,0.0022861111111110743,0.9999950245471958,4,3
GoogleCluster,13,BalancedRF,0.5,0.9991341991341991,0.9984858317110101,0.9988099102023152,0.9990324858680601,0.9985743906451514,0.0007903513888888889,0.003233055555555544,0.9999901237650018,7,4
GoogleCluster,13,MLP,0.5,0.9952380952380953,0.9922313336210618,0.9937324400259347,0.9943109656325787,0.9918314069824485,0.003271792776266926,0.0020409098459977285,0.9992985217430903,36,22
GoogleCluster,13,LogReg,0.5,0.9231601731601732,0.9016913319238901,0.9122994652406418,0.9180726611332739,0.8817840092226482,0.039815167621353766,0.029205760074495313,0.9695084839331402,465,355
