dataset,seed,model,true_class,predicted_class,count
GoogleCluster,13,BalancedRF,High,High,4616
GoogleCluster,13,BalancedRF,High,Low,4
GoogleCluster,13,BalancedRF,High,Medium,0
GoogleCluster,13,BalancedRF,Low,High,2
GoogleCluster,13,BalancedRF,Low,Low,2497
GoogleCluster,13,BalancedRF,Low,Medium,0
GoogleCluster,13,BalancedRF,Medium,High,5
GoogleCluster,13,BalancedRF,Medium,Low,0
GoogleCluster,13,BalancedRF,Medium,Medium,4876
GoogleCluster,13,MLP,High,High,4598
GoogleCluster,13,MLP,High,Low,9
GoogleCluster,13,MLP,High,Medium,13
GoogleCluster,13,MLP,Low,High,25
GoogleCluster,13,MLP,Low,Low,2471
GoogleCluster,13,MLP,Low,Medium,3
GoogleCluster,13,MLP,Medium,High,11
GoogleCluster,13,MLP,Medium,Low,2
GoogleCluster,13,MLP,Medium,Medium,4868
GoogleCluster,13,LogReg,High,High,4265
GoogleCluster,13,LogReg,High,Low,348
GoogleCluster,13,LogReg,High,Medium,7
GoogleCluster,13,LogReg,Low,High,151
GoogleCluster,13,LogReg,Low,Low,2341
GoogleCluster,13,LogReg,Low,Medium,7
GoogleCluster,13,LogReg,Medium,High,314
GoogleCluster,13,LogReg,Medium,Low,92
GoogleCluster,13,LogReg,Medium,Medium,4475
GoogleCluster,13,NaiveBayes,High,High,3871
GoogleCluster,13,NaiveBayes,High,Low,670
GoogleCluster,13,NaiveBayes,High,Medium,79
GoogleCluster,13,NaiveBayes,Low,High,255
GoogleCluster,13,NaiveBayes,Low,Low,2220
GoogleCluster,13,NaiveBayes,Low,Medium,24
GoogleCluster,13,NaiveBayes,Medium,High,139
GoogleCluster,13,NaiveBayes,Medium,Low,386
GoogleCluster,13,NaiveBayes,Medium,Medium,4356
GoogleCluster,99,KATS,High,High,4616
GoogleCluster,99,KATS,High,Low,2
GoogleCluster,99,KATS,High,Medium,2
GoogleCluster,99,KATS,Low,High,2
GoogleCluster,99,KATS,Low,Low,2497
GoogleCluster,99,KATS,Low,Medium,0
GoogleCluster,99,KATS,Medium,High,4
GoogleCluster,99,KATS,Medium,Low,0
GoogleCluster,99,KATS,Medium,Medium,4877
GoogleCluster,99,LightGBM,High,High,4617
GoogleCluster,99,LightGBM,High,Low,1
GoogleCluster,99,LightGBM,High,Medium,2
GoogleCluster,99,LightGBM,Low,High,2
GoogleCluster,99,LightGBM,Low,Low,2497
GoogleCluster,99,LightGBM,Low,Medium,0
GoogleCluster,99,LightGBM,Medium,High,4
GoogleCluster,99,LightGBM,Medium,Low,0
GoogleCluster,99,LightGBM,Medium,Medium,4877
GoogleCluster,99,XGBoost,High,High,4615
GoogleCluster,99,XGBoost,High,Low,2
GoogleCluster,99,XGBoost,High,Medium,3
GoogleCluster,99,XGBoost,Low,High,2
GoogleCluster,99,XGBoost,Low,Low,2497
GoogleCluster,99,XGBoost,Low,Medium,0
GoogleCluster,99,XGBoost,Medium,High,5
GoogleCluster,99,XGBoost,Medium,Low,0
GoogleCluster,99,XGBoost,Medium,Medium,4876
GoogleCluster,99,RandomForest,High,High,4617
GoogleCluster,99,RandomForest,High,Low,1
GoogleCluster,99,RandomForest,High,Medium,2
GoogleCluster,99,RandomForest,Low,High,1
GoogleCluster,99,RandomForest,Low,Low,2498
GoogleCluster,99,RandomForest,Low,Medium,0
GoogleCluster,99,RandomForest,Medium,High,4
GoogleCluster,99,RandomForest,Medium,Low,0
GoogleCluster,99,RandomForest,Medium,Medium,4877
GoogleCluster,99,BalancedRF,High,High,4617
GoogleCluster,99,BalancedRF,High,Low,2
GoogleCluster,99,BalancedRF,High,Medium,1
GoogleCluster,99,BalancedRF,Low,High,1
