dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
GoogleCluster,2026,LightGBM,0.5,0.9993506493506492,0.9989182172219818,0.9991343864964294,0.9993731460300852,0.9989630835717052,0.0003312440338164,0.0003896769483858,0.9999923104289236,5,3
GoogleCluster,2026,XGBoost,0.5,0.9991341991341992,0.9987018606663782,0.9989179831205368,0.9990993302871126,0.998574313272625,0.0005013333147012,0.0007849126091318,0.9999830608956708,6,4
GoogleCluster,2026,RandomForest,0.5,0.9995670995670995,0.9989184512221502,0.999242670128746,0.9994108246156808,0.9990927240257986,0.0004733833333333,0.0024697222222222,0.999998735425364,5,2
GoogleCluster,2026,BalancedRF,0.5,0.9991341991341992,0.9989179831205368,0.9990260794286332,0.9992378389008292,0.998833525752981,0.0006262180555555,0.0032833333333333,0.9999979860454296,5,4
GoogleCluster,2026,MLP,0.5,0.9932900432900432,0.9960929021054916,0.9946894982117698,0.9951719040727516,0.992743891806503,0.0030636072645519,0.0031780248114793,0.9994802251035874,18,31
GoogleCluster,2026,LogReg,0.5,0.9151515151515152,0.9028400597907325,0.90895410082769,0.9127129688774046,0.8750934269361603,0.0424144515637714,0.027669810031738,0.9663201460181816,455,392
GoogleCluster,2026,NaiveBayes,0.5,0.8374458874458874,0.9103529411764706,0.8723788049605411,0.8575086683277808,0.8017666323461091,0.0636659960421595,0.0277712246887916,0.919975599985102,381,751
ITIncident,42,KATS,0.5,0.9411764705882352,0.0443981963232743,0.0847962901623054,0.231562918634661,0.0400612492415143,0.3070958653660409,0.4486899605593326,0.1499799470133291,2755,8
ITIncident,42,LightGBM,0.5,0.7205882352941176,0.0875,0.1560509554140127,0.3623487576688162,0.1059948989067801,0.1610730089247517,0.2568216003991383,0.2472364095690548,1022,38
ITIncident,42,XGBoost,0.5,0.1176470588235294,0.8421052631578947,0.2064516129032258,0.4779365150087837,0.2229981600263457,0.0309892812140502,0.0052581477527585,0.3133803796780441,3,120
ITIncident,42,RandomForest,0.5,0.1838235294117647,0.4545454545454545,0.2617801047120419,0.462706770934761,0.1664077550983611,0.0526540670444208,0.0550739589160056,0.2524834613466932,30,111
ITIncident,42,BalancedRF,0.5,0.6176470588235294,0.1068702290076335,0.1822125813449024,0.3813138669415863,0.1196921466376277,0.1451704283573451,0.270606852443312,0.2529483372540568,702,52
ITIncident,42,MLP,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0369092962518592,0.0042512924990186,0.0550532027279487,0,136
ITIncident,42,LogReg,0.5,0.4117647058823529,0.0416666666666666,0.0756756756756756,0.2356652758010491,0.0255370084500208,0.2182147716234725,0.3934319710723268,0.040427821251723,1288,80
ITIncident,42,NaiveBayes,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0367517726471814,0.0004835438153625,0.0494754372441111,0,136
ITIncident,7,KATS,0.5,0.9044117647058824,0.0430672268907563,0.0822192513368983,0.2248382758713893,0.0354012806316499,0.2925611992671731,0.4371949539575198,0.1568619659725423,2733,13
ITIncident,7,LightGBM,0.5,0.7058823529411765,0.097165991902834,0.1708185053380783,0.3696847686420092,0.1118497525975472,0.1549154694022823,0.2486918342207434,0.1918812746725673,892,40
ITIncident,7,XGBoost,0.5,0.088235294117647,0.5454545454545454,0.1518987341772152,0.4496756271835723,0.1837121794432131,0.0325115110443977,0.005738656203673,0.2306420395535237,10,124
ITIncident,7,RandomForest,0.5,0.1470588235294117,0.3571428571428571,0.2083333333333333,0.4368745448242084,0.1353915288654734,0.0551807701322954,0.0579143394542901,0.2001803181985939,36,116
ITIncident,7,BalancedRF,0.5,0.5882352941176471,0.1120448179271708,0.188235294117647,0.3752226652009204,0.1099738452202477,0.1456137756696456,0.2689216970379799,0.2101928473175667,634,56
ITIncident,7,MLP,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0367770712765094,0.0016614213481535,0.0741708219674121,0,136
ITIncident,7,LogReg,0.5,0.4411764705882353,0.0453172205438066,0.0821917808219178,0.2551804862857442,0.0276931862095853,0.2194445990567413,0.393976182775003,0.0408611825465606,1264,76
ITIncident,7,NaiveBayes,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0369007420528311,0.0008737643526946,0.0499697900757351,0,136
ITIncident,13,KATS,0.5,0.9411764705882352,0.0416666666666666,0.0798004987531172,0.209915447839102,0.0322025927902839,0.3073638076241106,0.4486387595322167,0.1470116461860084,2944,8
ITIncident,13,LightGBM,0.5,0.7720588235294118,0.088309503784693,0.1584905660377358,0.357219901373645,0.0994649976976578,0.1662322346751379,0.2627017059340409,0.2033826188181502,1084,31
ITIncident,13,XGBoost,0.5,0.0955882352941176,0.6842105263157895,0.1677419354838709,0.4472875016011193,0.1770772088727176,0.0325152655207123,0.0081182342964942,0.2624345723170219,6,123
ITIncident,13,RandomForest,0.5,0.1397058823529411,0.3114754098360656,0.1928934010152284,0.4328073831146046,0.1296616703082552,0.0552461341024887,0.0581484430854792,0.2078503099312011,42,117
ITIncident,13,BalancedRF,0.5,0.6470588235294118,0.1078431372549019,0.1848739495798319,0.3737241479614741,0.1073501143054654,0.146144275466511,0.2725617145795245,0.2327106664955229,728,48
