train_fraction,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
0.8,7,LightGBM,0.5,0.7536231884057971,0.08688387635756056,0.15580524344569288,0.3374556826811492,0.07110628781350858,0.16814274123928116,0.2600918715460623,0.2168469229780972,1093,34
0.8,7,LogReg,0.5,0.34782608695652173,0.04092071611253197,0.07322654462242563,0.27403733155984494,0.015524336174402076,0.2108118288067173,0.3879321059922973,0.042239416705187265,1125,90
0.8,13,KATS,0.5,0.9782608695652174,0.04730203223545901,0.09024064171122995,0.20488934123938177,0.023352764253772085,0.305902849891034,0.4517172696513401,0.11761087418548423,2719,3
0.8,13,LightGBM,0.5,0.7536231884057971,0.08688387635756056,0.15580524344569288,0.3374556826811492,0.07110628781350858,0.16814274123928116,0.2600918715460623,0.2168469229780972,1093,34
0.8,13,LogReg,0.5,0.34782608695652173,0.04092071611253197,0.07322654462242563,0.27403733155984494,0.015524336174402076,0.2108118288067173,0.3879321059922973,0.042239416705187265,1125,90
0.8,42,KATS,0.5,0.9637681159420289,0.04403973509933775,0.08423052564914503,0.20139110176827177,0.022109168828392978,0.3071146364237276,0.4517988072823857,0.12221170477230954,2887,5
0.8,42,LightGBM,0.5,0.7536231884057971,0.08688387635756056,0.15580524344569288,0.3374556826811492,0.07110628781350858,0.16814274123928116,0.2600918715460623,0.2168469229780972,1093,34
0.8,42,LogReg,0.5,0.34782608695652173,0.04092071611253197,0.07322654462242563,0.27403733155984494,0.015524336174402076,0.2108118288067173,0.3879321059922973,0.042239416705187265,1125,90
0.9,7,KATS,0.5,0.9743589743589743,0.05234159779614325,0.09934640522875816,0.2442752668218597,0.027961173231443648,0.3051424970094064,0.4434929283331243,0.12594989157400147,1376,2
0.9,7,LightGBM,0.5,0.7435897435897436,0.08529411764705883,0.15303430079155672,0.3374347589030097,0.06980253397542191,0.17825974244287682,0.26953713650969574,0.17398695412796392,622,20
0.9,7,LogReg,0.5,0.3717948717948718,0.04948805460750853,0.08734939759036145,0.27700000406957265,0.020696671378534925,0.22113909932817152,0.3897428248060117,0.054211087493890295,557,49
0.9,13,KATS,0.5,0.9743589743589743,0.05104096709200806,0.09700063816209317,0.24900755211038672,0.02823914199512456,0.3064335214977972,0.4459889451274841,0.12423478183193308,1413,2
0.9,13,LightGBM,0.5,0.7435897435897436,0.08529411764705883,0.15303430079155672,0.3374347589030097,0.06980253397542191,0.17825974244287682,0.26953713650969574,0.17398695412796392,622,20
0.9,13,LogReg,0.5,0.3717948717948718,0.04948805460750853,0.08734939759036145,0.27700000406957265,0.020696671378534925,0.22113909932817152,0.3897428248060117,0.054211087493890295,557,49
0.9,42,KATS,0.5,0.9743589743589743,0.048749198203976905,0.09285277947464875,0.24288316233270382,0.025917997440436213,0.3113636519477277,0.4521463419881262,0.12791550644325123,1483,2
