dataset,seed,variant,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
ITIncident,2026,T_Full,0.5,0.9558823529411765,0.04130918334922148,0.0791958574474566,0.20969060166947895,0.035791420967102194,0.30972363442587386,0.4528193853231988,0.20800764420042897,3017,6
ITIncident,2026,T_NoSMOTE,0.5,0.9338235294117647,0.03928240024744819,0.07539329177797566,0.18172223994441106,0.028580845541836042,0.3150313283387141,0.455390758369042,0.2645343943661166,3106,9
ITIncident,2026,T_NoAsymLoss,0.40000000000000013,0.10294117647058823,0.6666666666666666,0.17834394904458598,0.3829773947795679,0.0844641248194582,0.03366588750020808,0.006374186145188587,0.2676427551281247,7,122
ITIncident,2026,T_NoCalibNB,0.5,0.9558823529411765,0.04043545878693624,0.07758877946881527,0.2030963829238812,0.03449205986647008,0.31667357964852355,0.4574663021672379,0.2112268679303999,3085,6
ITIncident,2026,T_NoStacking,0.5,0.7279411764705882,0.06680161943319839,0.12237330037082818,0.24742420683960017,0.04259050882420101,0.3191584240195395,0.38499068449807505,0.2071147085335171,1383,37
CICIDS2017,42,T_Full,0.8500000000000002,0.9335912314635719,0.28045709858609336,0.4313375037235627,0.5557685933790898,0.30456119427374373,0.13629605439538756,0.22793707720523562,0.87150037915059,3715,103
CICIDS2017,42,T_NoSMOTE,0.8500000000000002,0.9342359767891683,0.2737577933119214,0.4234365867913501,0.5540403487501379,0.2957289372237669,0.13300041753018377,0.22426313063214265,0.8639161246583674,3844,102
CICIDS2017,42,T_NoAsymLoss,0.6000000000000002,0.8188265635074146,0.9249817916970139,0.8686730506155951,0.6510683155329741,0.7165305380586291,0.07746987196460761,0.11346289488368316,0.8464722704802643,103,281
CICIDS2017,42,T_NoCalibNB,0.8500000000000002,0.9329464861379755,0.2654071900220103,0.4132514636584321,0.5397229036727845,0.28187740721436894,0.14009158337199454,0.24394775381204212,0.8688779496985801,4005,104
CICIDS2017,42,T_NoStacking,0.8000000000000003,0.9980657640232108,0.9929441949967928,0.9954983922829582,0.9957617062919426,0.9945668985290378,0.001016510156938831,0.0009916832877080181,0.9998709848896997,11,3
CICIDS2017,7,T_Full,0.8500000000000002,0.9348807221147647,0.2717900656044986,0.4211443508568109,0.5369538411093663,0.2866691510808509,0.1425113982154146,0.24560845348995639,0.8908630061475069,3885,101
CICIDS2017,7,T_NoSMOTE,0.8500000000000002,0.9348807221147647,0.2737915407854985,0.4235431575872645,0.5400413355019986,0.2887939428308469,0.1377517869013883,0.2334117341614892,0.895227058486899,3846,101
CICIDS2017,7,T_NoAsymLoss,0.6000000000000002,0.7988394584139265,0.9336850037678975,0.8610145934676859,0.6494626868820101,0.7089383252231762,0.07521612253134935,0.10405741485272563,0.8442564744630218,88,312
CICIDS2017,7,T_NoCalibNB,0.8500000000000002,0.9342359767891683,0.26948112330295704,0.41830254041570436,0.5580128510801594,0.2940722862418752,0.13429374658728407,0.23590471795957202,0.8865553213325804,3928,102
CICIDS2017,7,T_NoStacking,0.3500000000000001,0.9987105093488072,0.9916773367477593,0.9951814969482814,0.994529662180868,0.9931521088069041,0.0010115850944428025,0.00119468003976918,0.999945962004484,13,2
CICIDS2017,13,T_Full,0.8500000000000002,0.9400386847195358,0.26275004505316274,0.41070422535211265,0.5437234136274635,0.28105453178379847,0.14296344370897515,0.2530715563881962,0.8837875928028205,4091,93
CICIDS2017,13,T_NoSMOTE,0.8500000000000002,0.938749194068343,0.26952980377637914,0.41881202358694086,0.5565752793221218,0.29414703326315417,0.13612003366441328,0.23398993103016288,0.8866272102752306,3946,95
CICIDS2017,13,T_NoAsymLoss,0.6000000000000002,0.8291424887169568,0.9114103472714387,0.8683322079675895,0.6424543862131614,0.7165544218367388,0.07768532327757595,0.11850043715758425,0.8514552567359488,125,265
CICIDS2017,13,T_NoCalibNB,0.8500000000000002,0.9393939393939394,0.27831900668576887,0.4294134983790156,0.5522735246740523,0.30084175084593456,0.13552053582212925,0.2291401945932677,0.8778387701758932,3778,94
CICIDS2017,13,T_NoStacking,0.7000000000000002,0.9974210186976145,0.9916666666666667,0.994535519125683,0.9960952397120418,0.9939989143750338,0.0010400972927276518,0.000979135287914373,0.9994727293911784,13,4
CICIDS2017,99,T_Full,0.8500000000000002,0.9297227595099935,0.2685288640595903,0.4167027886143621,0.5389277033354583,0.28410281687672245,0.14235576470689762,0.2409057281939119,0.8818701849011028,3928,109
CICIDS2017,99,T_NoSMOTE,0.8500000000000002,0.9303675048355899,0.2613183629119884,0.40803053866817474,0.5279960402995789,0.2718467371852109,0.14669523307314292,0.2547691419918788,0.8787395552071157,4079,108
CICIDS2017,99,T_NoAsymLoss,0.6000000000000002,0.8220502901353965,0.9279475982532751,0.8717948717948718,0.6369514619100941,0.7140676732799198,0.0772915090009882,0.11543173037915634,0.856465959524968,99,276
CICIDS2017,99,T_NoCalibNB,0.8500000000000002,0.9303675048355899,0.2650137741046832,0.4125214408233276,0.5296167074730732,0.27614681750189296,0.14180570991993538,0.24147970008987674,0.8819133676460278,4002,108
CICIDS2017,99,T_NoStacking,0.8000000000000003,0.9980657640232108,0.9929441949967928,0.9954983922829582,0.9968314079662607,0.9951399040559883,0.000852945332158962,0.0008788058727456728,0.9997847746402051,11,3
CICIDS2017,2026,T_Full,0.8500000000000002,0.9335912314635719,0.26457153298008407,0.4123006833712984,0.5303273192173878,0.27609355334422947,0.1441030398993298,0.2505784563338288,0.8662269376220049,4025,103
CICIDS2017,2026,T_NoSMOTE,0.8500000000000002,0.927143778207608,0.26738564522127184,0.4150671092509742,0.53516982654221,0.28052157358182894,0.1373240389211206,0.23161759859509515,0.8660213015185115,3940,113
CICIDS2017,2026,T_NoAsymLoss,0.5500000000000002,0.819471308833011,0.8857142857142857,0.8513060951105157,0.6527150564604588,0.7011028214320514,0.07506889178626198,0.10625687989064075,0.8445961476036875,164,280
CICIDS2017,2026,T_NoCalibNB,0.8500000000000002,0.927143778207608,0.27616669867486077,0.4255696951760876,0.5690675698763876,0.3040677836138481,0.13144546509473712,0.22100250363693844,0.8607591456473479,3769,113
CICIDS2017,2026,T_NoStacking,0.8000000000000003,1.0,0.988527724665392,0.9942307692307693,0.9956080913049531,0.9934377445242615,0.0011489972287485543,0.0014141014410178519,0.9998309053129089,18,0
