dataset,seed,model,class_index,bin,count,mean_confidence,empirical_frequency
GoogleCluster,42,BalancedRF,2,7,12,0.7600000000000001,1.0
GoogleCluster,42,BalancedRF,2,8,34,0.8499999999999999,1.0
GoogleCluster,42,BalancedRF,2,9,4820,0.9979284232365145,1.0
GoogleCluster,42,MLP,0,0,7353,0.0005430032291347487,0.0010879912960696314
GoogleCluster,42,MLP,0,1,15,0.13426995684131068,0.26666666666666666
GoogleCluster,42,MLP,0,2,8,0.2582084545942329,0.5
GoogleCluster,42,MLP,0,3,5,0.3426604845731165,0.2
GoogleCluster,42,MLP,0,4,2,0.4315755668585019,1.0
GoogleCluster,42,MLP,0,5,6,0.5409210073296519,0.5
GoogleCluster,42,MLP,0,6,16,0.6440577757665901,0.9375
GoogleCluster,42,MLP,0,7,20,0.7546992660496891,0.85
GoogleCluster,42,MLP,0,8,22,0.8436907984121597,0.9545454545454546
GoogleCluster,42,MLP,0,9,4553,0.9987239233622124,0.9982429167581814
GoogleCluster,42,MLP,1,0,9452,0.00035577914372797486,0.00010579771476936098
GoogleCluster,42,MLP,1,1,15,0.16258377296991003,0.06666666666666667
GoogleCluster,42,MLP,1,2,14,0.23364330876033404,0.0
GoogleCluster,42,MLP,1,3,12,0.3545050823030001,0.0
GoogleCluster,42,MLP,1,4,2,0.4419521304744563,0.0
GoogleCluster,42,MLP,1,5,2,0.5616509254225031,0.0
GoogleCluster,42,MLP,1,6,2,0.656310510294378,1.0
GoogleCluster,42,MLP,1,7,2,0.7650362526524164,0.5
GoogleCluster,42,MLP,1,8,2,0.8612248318482008,1.0
GoogleCluster,42,MLP,1,9,2497,0.9992432002873702,0.9979975971165399
GoogleCluster,42,MLP,2,0,7101,0.0004127492785635745,0.0011266018870581607
GoogleCluster,42,MLP,2,1,6,0.15753475097610517,0.16666666666666666
GoogleCluster,42,MLP,2,2,6,0.2710898429334143,0.5
GoogleCluster,42,MLP,2,3,4,0.3598303470173539,0.25
GoogleCluster,42,MLP,2,4,5,0.45673422914459805,0.8
GoogleCluster,42,MLP,2,5,1,0.5946330866855851,0.0
GoogleCluster,42,MLP,2,6,3,0.6576293312616683,0.6666666666666666
GoogleCluster,42,MLP,2,7,7,0.7399843779791011,0.42857142857142855
GoogleCluster,42,MLP,2,8,13,0.8657855822650684,0.6923076923076923
GoogleCluster,42,MLP,2,9,4854,0.9995298525936064,0.9991759373712402
GoogleCluster,42,LogReg,0,0,5935,0.007375493605811742,0.014827295703454086
GoogleCluster,42,LogReg,0,1,891,0.1410453126338779,0.04938271604938271
GoogleCluster,42,LogReg,0,2,214,0.23971371248469178,0.3037383177570093
GoogleCluster,42,LogReg,0,3,145,0.347415653428045,0.45517241379310347
GoogleCluster,42,LogReg,0,4,218,0.4502393864042398,0.7018348623853211
GoogleCluster,42,LogReg,0,5,498,0.5445741053916823,0.8634538152610441
GoogleCluster,42,LogReg,0,6,339,0.6486017534443771,0.6578171091445427
GoogleCluster,42,LogReg,0,7,411,0.7467354193881459,0.7372262773722628
GoogleCluster,42,LogReg,0,8,507,0.8535478065633112,0.9211045364891519
GoogleCluster,42,LogReg,0,9,2842,0.9730045209539951,0.9785362420830401
GoogleCluster,42,LogReg,1,0,7805,0.003614314525721121,0.004612427930813581
GoogleCluster,42,LogReg,1,1,412,0.14243048136689612,0.04611650485436893
GoogleCluster,42,LogReg,1,2,374,0.25420450739467254,0.1497326203208556
GoogleCluster,42,LogReg,1,3,197,0.34788354829897256,0.1065989847715736
GoogleCluster,42,LogReg,1,4,428,0.437300390719963,0.028037383177570093
GoogleCluster,42,LogReg,1,5,181,0.5469747177484532,0.2430939226519337
GoogleCluster,42,LogReg,1,6,153,0.6495577439777499,0.6470588235294118
GoogleCluster,42,LogReg,1,7,292,0.7588968713213372,0.7054794520547946
GoogleCluster,42,LogReg,1,8,843,0.8581731205059314,0.9383155397390273
GoogleCluster,42,LogReg,1,9,1315,0.9613498658353684,0.9239543726235742
GoogleCluster,42,LogReg,2,0,6455,0.021140428715105842,0.0179705654531371
GoogleCluster,42,LogReg,2,1,679,0.14454488990904613,0.2268041237113402
GoogleCluster,42,LogReg,2,2,292,0.24094411791540232,0.3013698630136986
GoogleCluster,42,LogReg,2,3,83,0.3421361600970085,0.6626506024096386
GoogleCluster,42,LogReg,2,4,43,0.445794433216624,0.5116279069767442
GoogleCluster,42,LogReg,2,5,16,0.5302682162662236,0.875
GoogleCluster,42,LogReg,2,6,5,0.6492289869133517,1.0
GoogleCluster,42,LogReg,2,7,2,0.7750503458694842,1.0
GoogleCluster,42,LogReg,2,8,1,0.8286758708971705,1.0
GoogleCluster,42,LogReg,2,9,4424,0.9997336074245883,1.0
GoogleCluster,42,NaiveBayes,0,0,5965,0.037905135062927586,0.039731768650461026
GoogleCluster,42,NaiveBayes,0,1,421,0.1158044386855802,0.06175771971496437
GoogleCluster,42,NaiveBayes,0,2,62,0.2528840508985631,0.3064516129032258
GoogleCluster,42,NaiveBayes,0,3,55,0.3273310227947848,0.23636363636363636
GoogleCluster,42,NaiveBayes,0,4,1381,0.4375819484359237,0.36350470673425056
GoogleCluster,42,NaiveBayes,0,5,36,0.582566346770067,0.5833333333333334
GoogleCluster,42,NaiveBayes,0,6,365,0.6691085852579263,0.7917808219178082
GoogleCluster,42,NaiveBayes,0,7,55,0.7732990680082829,0.7818181818181819
GoogleCluster,42,NaiveBayes,0,8,336,0.862232112349159,0.8035714285714286
GoogleCluster,42,NaiveBayes,0,9,3324,0.953023598048962,0.9626955475330926
GoogleCluster,42,NaiveBayes,1,0,7940,0.016464450222275967,0.0154911838790932
GoogleCluster,42,NaiveBayes,1,1,380,0.1360070228167579,0.1
GoogleCluster,42,NaiveBayes,1,2,44,0.250215557557739,0.11363636363636363
GoogleCluster,42,NaiveBayes,1,3,225,0.3423915135301476,0.05333333333333334
GoogleCluster,42,NaiveBayes,1,4,1379,0.4548102869718227,0.5018129079042785
GoogleCluster,42,NaiveBayes,1,5,87,0.5678261398936216,0.5402298850574713
GoogleCluster,42,NaiveBayes,1,6,85,0.6468766781828017,0.7294117647058823
GoogleCluster,42,NaiveBayes,1,7,766,0.7718803078152681,0.825065274151436
GoogleCluster,42,NaiveBayes,1,8,317,0.8439794674603216,0.6845425867507886
GoogleCluster,42,NaiveBayes,1,9,777,0.9735669718390261,0.8635778635778636
GoogleCluster,42,NaiveBayes,2,0,4308,0.026107893040457547,0.029944289693593314
GoogleCluster,42,NaiveBayes,2,1,3019,0.12305973015823389,0.11228883736336535
GoogleCluster,42,NaiveBayes,2,2,106,0.23017281911484824,0.19811320754716982
GoogleCluster,42,NaiveBayes,2,3,80,0.34781231462001,0.3875
GoogleCluster,42,NaiveBayes,2,4,40,0.4371904760879996,0.175
GoogleCluster,42,NaiveBayes,2,5,65,0.5742421882934701,0.26153846153846155
GoogleCluster,42,NaiveBayes,2,6,140,0.651689302325595,0.6928571428571428
GoogleCluster,42,NaiveBayes,2,7,18,0.7590572818437512,1.0
GoogleCluster,42,NaiveBayes,2,8,474,0.8841606988867455,0.9957805907172996
GoogleCluster,42,NaiveBayes,2,9,3750,0.9572165368767726,1.0
GoogleCluster,7,KATS,0,0,7372,0.00015223749639567058,0.00040694519804666303
GoogleCluster,7,KATS,0,1,2,0.15178097936644336,0.0
GoogleCluster,7,KATS,0,2,0,,
GoogleCluster,7,KATS,0,3,1,0.3274409815266394,0.0
GoogleCluster,7,KATS,0,4,0,,
GoogleCluster,7,KATS,0,5,0,,
GoogleCluster,7,KATS,0,6,1,0.6640022673237256,0.0
GoogleCluster,7,KATS,0,7,2,0.7390065006522333,1.0
GoogleCluster,7,KATS,0,8,3,0.8706790995322883,1.0
GoogleCluster,7,KATS,0,9,4619,0.9988800478876785,0.9984845204589738
GoogleCluster,7,KATS,1,0,9499,0.00033189260561023094,0.00010527423939362039
GoogleCluster,7,KATS,1,1,0,,
GoogleCluster,7,KATS,1,2,0,,
GoogleCluster,7,KATS,1,3,0,,
GoogleCluster,7,KATS,1,4,0,,
GoogleCluster,7,KATS,1,5,0,,
GoogleCluster,7,KATS,1,6,0,,
GoogleCluster,7,KATS,1,7,0,,
GoogleCluster,7,KATS,1,8,1,0.897180460349554,1.0
GoogleCluster,7,KATS,1,9,2500,0.9997943618577452,0.9988
GoogleCluster,7,KATS,2,0,7120,0.00045936820679208946,0.0008426966292134832
GoogleCluster,7,KATS,2,1,3,0.11430060033209237,0.0
GoogleCluster,7,KATS,2,2,2,0.2441941435053095,0.0
GoogleCluster,7,KATS,2,3,1,0.33421089921642555,1.0
GoogleCluster,7,KATS,2,4,0,,
GoogleCluster,7,KATS,2,5,0,,
GoogleCluster,7,KATS,2,6,1,0.6617409365950722,1.0
GoogleCluster,7,KATS,2,7,1,0.7775492475995607,1.0
GoogleCluster,7,KATS,2,8,2,0.8881718340449537,1.0
GoogleCluster,7,KATS,2,9,4870,0.9996875028826749,1.0
GoogleCluster,7,LightGBM,0,0,7366,0.00027559256466701666,0.0
GoogleCluster,7,LightGBM,0,1,4,0.15593494377567996,0.5
GoogleCluster,7,LightGBM,0,2,0,,
GoogleCluster,7,LightGBM,0,3,4,0.36604172770498944,0.25
GoogleCluster,7,LightGBM,0,4,1,0.4800537433268288,0.0
GoogleCluster,7,LightGBM,0,5,0,,
GoogleCluster,7,LightGBM,0,6,2,0.6906180005832003,0.5
GoogleCluster,7,LightGBM,0,7,2,0.7067099335285896,1.0
GoogleCluster,7,LightGBM,0,8,5,0.873487329968949,1.0
GoogleCluster,7,LightGBM,0,9,4616,0.999414251998861,0.9984835355285961
GoogleCluster,7,LightGBM,1,0,9498,8.326821784976971e-05,0.0001052853232259423
GoogleCluster,7,LightGBM,1,1,1,0.14945267309459762,0.0
